성관,count
이 전주(全州),870
권 안동(安東),368
윤 파평(坡平),346
한 청주(淸州),292
홍 남양(南陽[唐]),292
박 밀양(密陽),267
김 광산(光山),262
이 연안(延安),255
민 여흥(驪興),242
강 진주(晉州),230
김 경주(慶州),213
이 한산(韓山),202
박 반남(潘南),201
정 동래(東萊),199
심 청송(靑松),198
이 광주(廣州),197
이 전의(全義),188
조 풍양(豊壤),187
신 평산(平山),180
이 경주(慶州),180
김 안동(安東[舊]),164
김 연안(延安),163
김 안동(安東[新]),158
임 풍천(豊川),155
남 의령(宜寧),146
서 대구(大丘),143
유 문화(文化),142
성 창녕(昌寧),136
김 김해(金海),130
홍 풍산(豊山),130
안 순흥(順興),124
정 영일(迎日),121
이 여주(驪州),115
윤 해평(海平),115
조 창녕(昌寧),110
최 전주(全州),108
송 여산(礪山),107
김 청풍(淸風),105
이 덕수(德水),102
유 전주(全州),101
조 양주(楊州),100
김 의성(義城),100
오 해주(海州),99
김 강릉(江陵),98
허 양천(陽川),96
조 한양(漢陽),93
유 기계(杞溪),90
신 고령(高靈),88
이 용인(龍仁),88
유 진주(晉州[移]),82
황 창원(昌原),80
송 은진(恩津),79
이 함평(咸平),77
이 성주(星州),75
김 미상(未詳),74
윤 남원(南原),71
조 배천(白川),68
박 함양(咸陽),68
김 상산(商山),68
백 수원(水原),66
정 하동(河東),65
정 해주(海州),62
정 진양(晉陽),62
김 선산(善山),61
정 초계(草溪),60
원 원주(原州),60
이 진성(眞城),60
박 고령(高靈),57
유 진주(晉州[土]),57
정 나주(羅州),55
구 능성(綾城),54
양 남원(南原),54
임 나주(羅州),54
김 순천(順天),51
이 벽진(碧珍),51
장 인동(仁同),50
신 영산(靈山),49
최 해주(海州),48
안 광주(廣州),48
채 평강(平康),45
최 경주(慶州),45
이 미상(未詳),44
황 장수(長水),44
정 온양(溫陽),44
박 죽산(竹山),43
이 양성(陽城),42
홍 남양(南陽[土]),42
이 우봉(牛峰),42
송 진천(鎭川),42
조 임천(林川),42
이 고성(固城),40
문 남평(南平),38
김 풍산(豊山),38
손 밀양(密陽),38
김 예안(禮安),37
하 진양(晉陽),36
최 삭녕(朔寧),36
우 단양(丹陽),35
조 함안(咸安),35
박 순천(順天),35
신 거창(居昌),35
목 사천(泗川),34
이 영천(永川),34
정 광주(光州),34
곽 현풍(玄風),34
고 제주(濟州),34
여 함양(咸陽),33
변 원주(原州),32
오 동복(同福),32
최 강릉(江陵),31
이 부평(富平),31
오 보성(寶城),30
엄 영월(寧越),29
차 연안(延安),29
고 장흥(長興),28
조 평양(平壤),28
김 언양(彦陽),27
이 평창(平昌),27
김 부령(扶寧),27
안 죽산(竹山[舊]),27
윤 칠원(漆原),27
나 나주(羅州),27
남 영양(英陽),26
이 수안(遂安),26
정 경주(慶州),26
강 신천(信川),25
황 평해(平海),25
유 고흥(高興),24
어 함종(咸從),24
박 미상(未詳),24
서 이천(利川),23
이 원주(原州[舊]),23
박 무안(務安),22
유 풍산(豊山),22
기 행주(幸州),22
주 전주(全州),22
김 전주(全州),22
박 충주(忠州),21
최 화순(和順),21
손 경주(慶州),21
채 인천(仁川),21
정 청주(淸州),20
임 평택(平澤),20
최 강화(江華),20
이 단양(丹陽),19
최 수원(水原),19
노 광주(光州),19
윤 해남(海南),19
송 야로(冶爐),19
이 성산(星山),19
노 풍천(豊川),18
윤 무송(茂松),18
노 해주(海州),18
이 광산(光山),18
조 순창(淳昌),17
유 창원(昌原),17
도 성주(星州),16
변 초계(草溪),16
이 재령(載寧),16
안 죽산(竹山[新]),16
나 안정(安定),16
장 덕수(德水),16
허 김해(金海),16
최 미상(未詳),15
이 우계(羽溪),15
허 하양(河陽),15
남 함열(咸悅),15
최 충주(忠州),15
여 성산(星山),15
심 풍산(豊山),15
이 예안(禮安),14
곽 청주(淸州),14
진 여양(驪陽),14
조 미상(未詳),14
장 흥덕(興德),14
경 청주(淸州),14
김 원주(原州),14
양 제주(濟州),14
금 봉화(奉化),14
이 공주(公州),14
정 미상(未詳),13
김 개성(開城),13
이 합천(陜川),13
맹 신창(新昌),13
위 장흥(長興),13
이 함안(咸安),12
전 담양(潭陽),12
양 청주(淸州),12
김 울산(蔚山),12
전 정선(旌善),12
김 도강(道康),12
김 영광(靈光),12
고 개성(開城),12
남 고성(固城),12
오 함양(咸陽),12
배 흥해(興海),12
소 진주(晉州),12
오 나주(羅州),12
노 교하(交河),12
김 안산(安山),11
박 음성(陰城),11
방 남양(南陽),11
박 울산(蔚山),11
김 공주(公州),11
박 상주(尙州),11
김 수원(水原),10
최 양천(陽川),10
지 충주(忠州),10
배 성산(星山),10
김 진주(晉州),10
권 예천(醴泉),10
문 감천(甘泉),9
신 아주(鵝洲),9
이 안성(安城),9
김 서흥(瑞興),9
이 청주(淸州),9
왕 개성(開城),9
방 온양(溫陽),9
이 덕산(德山),9
김 청도(淸道),9
송 홍주(洪州),9
이 인천(仁川),9
김 영동(永同),9
유 서산(瑞山),9
이 홍주(洪州),9
임 장흥(長興),8
서 미상(未詳),8
변 황주(黃州),8
홍 부계(缶溪),8
김 해풍(海豊),8
김 청주(淸州),8
손 평해(平海),8
이 신평(新平),8
장 창녕(昌寧),8
공 곡부(曲阜),8
김 나주(羅州),8
정 봉화(奉化),8
장 인동(仁同[2]),8
김 양주(楊州),8
전 용궁(龍宮),8
이 청해(靑海),8
유 강릉(江陵),8
김 삼척(三陟),8
최 탐진(耽津),7
전 옥천(沃川),7
복 면천(沔川),7
탁 광산(光山),7
황 황주(黃州),7
한 미상(未詳),7
박 경주(慶州),7
선 보성(寶城),7
윤 함안(咸安),7
조 횡성(橫城),7
장 단양(丹陽),7
이 흥양(興陽),7
마 목천(木川),7
오 미상(未詳),7
윤 양주(楊州),7
김 해평(海平),7
노 장연(長淵),7
김 함창(咸昌),7
현 연주(延州),7
박 강릉(江陵),7
심 삼척(三陟),7
박 비안(比安),7
오 고창(高敞),7
배 분성(盆城),6
승 연일(延日),6
김 영암(靈巖),6
유 배천(白川),6
신 영해(寧海),6
배 달성(達城),6
현 성주(星州),6
임 미상(未詳),6
강 금천(衿川),6
이 영해(寧海),6
임 울진(蔚珍),6
윤 미상(未詳),6
장 결성(結城),6
송 연안(延安),6
박 춘천(春川),6
이 태안(泰安),6
구 평해(平海),6
장 울진(蔚珍),6
손 안동(安東),6
정 영성(靈城),6
길 해평(海平),6
정 창원(昌原),6
임 선산(善山),6
임 부안(扶安),6
안 탐진(耽津),6
전 나주(羅州),6
표 신창(新昌),6
이 고부(古阜),6
주 상주(尙州),6
송 신평(新平),6
주 미상(未詳),5
한 평산(平山),5
정 서산(瑞山),5
양 중화(中和),5
이 장수(長水),5
김 통천(通川),5
옥 의령(宜寧),5
조 직산(稷山),5
이 안악(安岳),5
주 웅천(熊川),5
김 고령(高靈),5
윤 영천(永川),5
손 미상(未詳),5
황 회덕(懷德),5
최 양주(楊州),5
백 선산(善山),5
노 안강(安康),5
김 충주(忠州),5
진 풍기(豊基),5
장 진천(鎭川),5
임 안의(安義),5
이 간성(杆城),5
반 거제(巨濟),5
임 곡성(谷城),5
봉 하음(河陰),4
노 함평(咸平),4
모 함평(咸平),4
명 서촉(西蜀),4
김 밀양(密陽),4
배 미상(未詳),4
신 미상(未詳),4
석 충주(忠州),4
황 영천(永川),4
박 군위(軍威),4
진 미상(未詳),4
서 남평(南平),4
김 당악(唐岳),4
조 가흥(嘉興),4
황 덕산(德山),4
이 교하(交河),4
박 강진(康津),4
송 태인(泰仁),4
전 천안(天安),4
한 곡산(谷山),4
전 경산(慶山),4
안 충주(忠州),4
김 창원(昌原),4
이 충주(忠州),4
홍 홍주(洪州),4
강 곡산(谷山),4
노 만경(萬頃),4
유 인동(仁同),4
현 순천(順天),4
선 태원(太原),4
손 구례(求禮),4
장 미상(未詳),4
곽 선산(善山),4
윤 현풍(玄風),4
나 금성(錦城),4
서 부여(扶餘),4
이 하빈(河濱),4
김 수안(遂安),4
최 수성(隋城),4
이 평산(平山),4
연 곡산(谷山),4
송 청주(淸州),4
김 우봉(牛峰),4
장 안동(安東),4
이 강진(康津),3
유 선산(善山),3
안 태원(太原),3
최 동주(東州),3
최 통천(通川),3
나 수성(壽城),3
배 곤양(昆陽),3
조 평산(平山),3
김 광주(廣州),3
김 금산(錦山),3
최 영천(永川),3
김 연기(燕岐),3
전 우봉(牛峰),3
한 당진(唐津),3
이 경산(京山),3
송 덕산(德山),3
안 공산(公山),3
곽 해미(海美),3
유 금성(金城),3
진 삼척(三陟),3
김 양산(梁山),3
승 연안(延安),3
문 개령(開寧),3
김 설성(雪城),3
김 교하(交河),3
조 남평(南平),3
임 전주(全州),3
전 남양(南陽),3
장 인동(仁同[3]),3
전 기장(機張),3
계 수안(遂安),3
오 군위(軍威),3
박 의흥(義興),3
최 초계(草溪),3
최 흥해(興海),3
유 충주(忠州),3
조 밀양(密陽),3
임 순창(淳昌),3
전 평강(平康),3
현 창원(昌原),3
오 낙안(樂安),3
나 미상(未詳),3
정 광주(廣州),3
황 상주(尙州),3
은 행주(幸州),3
백 대흥(大興),3
유 영광(靈光),3
전 미상(未詳),3
김 대구(大丘),3
함 강릉(江陵),3
정 영덕(盈德),3
문 미상(未詳),3
한 한양(漢陽),3
임 옥야(沃野),3
유 무송(茂松),3
주 신안(新安),3
이 원주(原州[新]),3
여 의령(宜寧),3
박 고성(固城),3
임 조양(兆陽),3
조 충주(忠州),2
최 진주(晉州),2
최 상원(祥原),2
송 미상(未詳),2
이 나주(羅州),2
오 낭산(朗山),2
이 서천(舒川),2
문 밀양(密陽),2
최 배천(白川),2
황 미상(未詳),2
하 강화(江華),2
김 하음(河陰),2
곽 미상(未詳),2
유 미상(未詳),2
한 부안(扶安),2
김 영양(英陽),2
심 부유(富有),2
이 진안(鎭安),2
장 구례(求禮),2
고 횡성(橫城),2
김 화순(和順),2
박 영암(靈巖),2
신 곡성(谷城),2
박 문의(文義),2
임 예천(醴泉),2
윤 예천(醴泉),2
이 울산(蔚山),2
홍 미상(未詳),2
장 진주(晉州),2
유 고령(高靈),2
이 삼가(三嘉),2
이 하음(河陰),2
김 남양(南陽),2
전 남원(南原),2
최 나주(羅州),2
형 진주(晉州),2
최 개성(開城),2
구 창원(昌原),2
유 탐진(耽津),2
김 영천(永川),2
서 연산(連山),2
곽 봉산(鳳山),2
차 용성(龍城),2
윤 신녕(新寧),2
정 의성(義城),2
정 장기(長鬐),2
이 동성(東城),2
김 남포(藍浦),2
한 양주(楊州),2
이 옹진(甕津),2
이 봉산(鳳山),2
김 천안(天安),2
백 남포(藍浦),2
이 청송(靑松),2
이 진위(振威),2
고 안동(安東),2
국 담양(潭陽),2
박 언양(彦陽),2
진 강릉(江陵),2
장 전주(全州),2
노 영광(靈光),2
설 경주(慶州),2
김 평양(平壤),2
김 해주(海州),2
이 담양(潭陽),2
장 순천(順天),2
김 덕수(德水),2
이 청안(淸安),2
예 의흥(義興),2
이 개성(開城),2
이 수원(水原),2
조 함열(咸悅),2
김 강동(江東),2
최 영암(靈巖),2
김 옥천(沃川),2
옹 옥천(玉川),2
탁 거창(居昌),2
오 화순(和順),2
박 창원(昌原),2
설 순창(淳昌),2
박 삼척(三陟),2
이 거창(居昌),2
황 우주(紆州),2
조 신창(新昌),2
여 미상(未詳),2
이 순창(淳昌),2
김 김녕(金寧),2
조 광주(廣州),2
김 희천(熙川),2
임 개령(開寧),2
홍 염주(鹽州),2
양 충주(忠州),2
강 미상(未詳),2
유 경주(慶州),2
김 함흥(咸興),2
전 과천(果川),2
서 남양(南陽),2
이 고령(高靈),2
장 금천(衿川),1
조 흥양(興陽),1
김 은진(恩津),1
최 광양(光陽),1
진 부여(扶餘),1
김 능주(綾州),1
백 미상(未詳),1
장 수성(壽城),1
이 덕은(德恩),1
윤 평산(平山),1
송 나주(羅州),1
김 용궁(龍宮),1
오 연일(延日),1
진 남원(南原),1
이 강흥(江興),1
이 여릉(廬陵),1
서 군위(軍威),1
최 고부(古阜),1
백 직산(稷山),1
이 차성(車城),1
김 경산(慶山),1
홍 회인(懷仁),1
전 행주(幸州),1
박 양천(陽川),1
전 예산(禮山),1
유 설성(雪城),1
최 하양(河陽),1
한 교하(交河),1
최 상주(尙州),1
임 안산(安山),1
박 면천(沔川),1
이 삼척(三陟),1
이 이산(尼山),1
손 비안(比安),1
배 화순(和順),1
유 거창(居昌),1
이 단성(丹城),1
양 나주(羅州),1
배 함흥(咸興),1
김 아산(牙山),1
김 장성(長城),1
이 상산(商山),1
김 광양(光陽),1
엄 영월(寧越),1
김 영덕(盈德),1
천 안동(安東),1
이 안산(安山[京]),1
김 연풍(延豊),1
문 개령(開寧),1
박 청산(靑山),1
김 중화(中和),1
허 함창(咸昌),1
단 연안(延安),1
최 태인(泰仁),1
김 동래(東萊),1
모 진주(晉州),1
배 공주(公州),1
진 현풍(玄風),1
최 황주(黃州),1
변 장연(長淵),1
김 고성(固城),1
변 미상(未詳),1
김 능성(綾城),1
진 나주(羅州),1
조 주천(酒泉),1
오 흥양(興陽),1
김 문화(文化),1
신 영천(永川),1
박 보성(寶城),1
장 지례(知禮),1
서 달성(達城),1
조 진주(晉州),1
이 가평(加平),1
장 송화(松禾),1
임 진천(鎭川),1
손 청주(淸州),1
오 의성(義城),1
윤 청주(淸州),1
이 천안(天安),1
박 영변(寧邊),1
오 밀양(密陽),1
전 경주(慶州),1
최 봉산(鳳山),1
조 남해(南海),1
조 홍양(洪陽),1
노 복성(福城),1
임 동래(東萊),1
초 성주(星州),1
박 태인(泰仁),1
김 성주(星州),1
전 임천(林川),1
오 함평(咸平),1
문 영산(靈山),1
김 음성(陰城),1
임 충주(忠州),1
고 강화(江華),1
이 평양(平壤),1
석 화원(花園),1
강 충주(忠州),1
김 고산(高山),1
이 안동(安東),1
전 통진(通津),1
강 동복(同福),1
이 장성(長城),1
강 광주(光州),1
송 문경(聞慶),1
권 안동(安東[唐]),1
박 당진(唐津),1
안 안강(安康),1
박 여주(驪州),1
길 선산(善山),1
원 남원(南原),1
당 밀양(密陽),1
김 용성(龍城),1
이 강동(江東),1
안 지곡(池谷),1
석 광주(廣州),1
이 용안(龍安),1
천 영양(潁陽),1
필 대흥(大興),1
홍 의주(義州),1
윤 여주(驪州),1
박 평택(平澤),1
김 진위(振威),1
백 해미(海美),1
조 옥천(玉川),1
진 진원(珍原),1
박 은풍(殷豊),1
노 청도(淸道),1
김 청송(靑松),1
이 강릉(江陵),1
문 능성(綾城),1
김 연일(延日),1
전 안동(安東),1
염 순창(淳昌),1
유 무안(務安),1
김 고양(高陽),1
박 전주(全州),1
임 신평(新平),1
양 밀양(密陽),1
김 웅천(熊川),1
박 순창(淳昌),1
최 보령(保寧),1
한 탐진(耽津),1
이 영흥(永興),1
정 보령(保寧),1
이 낙안(樂安),1
한 신평(新平),1
방 미상(未詳),1
황 항주(杭州),1
정 정산(定山),1
김 보령(保寧),1
윤 주천(酒泉),1
유 천녕(川寧),1
오 우봉(牛峰),1
주 풍기(豊基),1
노 서하(西河),1
김 평산(平山),1
조 수안(遂安),1
강 임실(任實),1
서 가성(佳城),1
방 신창(新昌),1
방 풍천(豊川),1
최 원주(原州),1
박 우봉(牛峰),1
태 영순(永順),1
김 의흥(義興),1
김 계림(鷄林),1
박 사천(泗川),1
신 영산(靈山),1
김 괴산(槐山),1
허 태인(泰仁),1
최 괴산(槐山),1
백 홍주(洪州),1
김 청산(靑山),1
최 문경(聞慶),1
김 수주(樹州),1
인 교동(喬桐),1
황 제안(齊安),1
최 낭주(朗州),1
임 서택(瑞澤),1
심 의령(宜寧),1
안 미상(未詳),1
강 상원(祥原),1
최 능주(綾州),1
김 적성(積城),1
석 원주(原州),1
이 순천(順天),1
위 강화(江華),1
박 진원(珍原),1
문 단성(丹城),1
이 강양(江陽),1
윤 덕산(德山),1
이 강화(江華),1
장 태원(太原),1
조 영암(靈巖),1
최 진산(珍山),1
조 강진(康津),1
문 인천(仁川),1
이 광평(廣平),1
감 합포(合浦),1
심 미상(未詳),1
김 신천(信川),1
이 진주(晉州),1
안 안산(安山),1
김 임진(臨津),1
정 개성(開城),1
최 직산(稷山),1
서 용궁(龍宮),1
육 옥천(沃川),1
이 화산(花山),1
전 성주(星州),1
전 전주(全州),1
이 임강(臨江),1
임 익산(益山),1
정 장흥(長興),1
김 진천(鎭川),1
전 수안(遂安),1
명 미상(未詳),1
이 양산(陽山),1
이 기계(杞溪),1
부 제주(濟州),1
허 미상(未詳),1
노 곡산(谷山),1
양 안악(安岳),1
김 강화(江華),1
오 장흥(長興),1
장 청송(靑松),1
강 곡성(谷城),1
송 서산(瑞山),1
상 목천(木川),1
왕 제남(濟南),1
김 진도(珍島),1
장 목천(木川),1
동 진주(晉州),1
김 가흥(佳興),1
전 개성(開城),1
이 양산(梁山),1
조 수원(水原),1
진 흥덕(興德),1
이 중화(中和),1
공 김포(金浦),1
차 미상(未詳),1
홍 안산(安山),1
노 미상(未詳),1
이 행주(幸州),1
섭 경주(慶州),1
양 미상(未詳),1
김 해미(海美),1
이 정주(定州),1
송 양주(楊州),1
김 시흥(始興),1
정 옹진(甕津),1
최 청송(靑松),1
신 은풍(殷豊),1
송 김해(金海),1
김 정산(定山),1
